ticker,market_cap,ret_1y,paid_in_capital,snapshot_at,source
ANET,251475591168.0,0.33273175975010716,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
GEV,250441465856.0,0.5099495424636484,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SAP,241748082688.0,-0.20163720466017931,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
TMO,240871882752.0,0.36314958888167936,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
TXN,243508379648.0,0.525033224383189,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SNDK,262356500480.0,16.53076961490032,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
TM,226806644736.0,-0.03729579433406904,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
IBM,216266948608.0,-0.11592483586729851,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
C,221035855872.0,0.3104556043521307,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
KLAC,231245725696.0,0.7031307344593696,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BHP,219253194752.0,0.7239857258206159,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
MRVL,219508604928.0,2.2961270450388063,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SAN,207619588096.0,0.4146905237819265,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
AXP,210399526912.0,-0.0768861439038685,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
LIN,212235255808.0,-0.02581240324804379,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
AMGN,208494723072.0,0.3886968656629981,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
TTE,200624553984.0,0.564734953701878,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
QCOM,189815717888.0,0.08732978173692763,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
VZ,199803142144.0,0.18157722524743614,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
CRM,195808165888.0,-0.028944897632797395,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
TD,200439054336.0,0.5785116188772768,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
APH,191235735552.0,0.2581984981408876,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
NVO,191028920320.0,-0.26060877774011826,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
GILD,186129678336.0,0.3482317630975753,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
DE,184421072896.0,0.4746883153583703,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
DIS,177278943232.0,-0.08441737546300765,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
PEP,177238507520.0,-0.04763389557153419,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
STX,195282829312.0,2.913939542127087,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SCHW,182012575744.0,0.1300247018591434,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
TMUS,180401897472.0,-0.2789486396390479,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ABT,177554636800.0,-0.22830260975859706,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
MCD,175664939008.0,-0.15793073198889263,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ADI,182060941312.0,0.5506425202451688,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
T,174050590720.0,-0.08315285895376445,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BLK,173813792768.0,-0.043932484270163275,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SMFG,166165233664.0,0.5581947466363726,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
NEE,167858667520.0,0.1646402382952561,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
UNP,165966872576.0,0.293041817796339,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
WELL,164917313536.0,0.4058933034868615,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SHOP,166748618752.0,-0.1617743154472393,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
SCCO,165238063104.0,0.8890499748429006,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
COP,158372315136.0,0.4793967180058136,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
RIO,158358618112.0,0.6398010007779831,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
ETN,164980670464.0,0.1468780533384706,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BBVA,156499148800.0,0.5423285925315231,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
PFE,157652975616.0,0.23178771720826719,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BA,156651339776.0,-0.08091814255565655,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BUD,153060392960.0,0.3289087362780807,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
UBS,155199700992.0,0.2295495607865592,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
WDC,159128338432.0,3.1468953088777347,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
IBKR,154519044096.0,0.40048759964565206,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BX,149364408320.0,-0.30695554624467913,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
DHR,148899479552.0,0.10389873751121903,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
UBER,144000483328.0,-0.284336631091482,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
NOW,140057280512.0,-0.295271267587634,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
SONY,137131507712.0,-0.20095372626793206,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
TJX,139960696832.0,-0.07860665507429832,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
ISRG,140921503744.0,-0.10346009874667994,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
PBR,134042812416.0,0.7196031341803211,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
MFG,132407238656.0,0.6475903313795697,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
UL,133114822656.0,-0.07179429726905229,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
CB,131418873856.0,0.2550542163885883,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
NEM,130036170752.0,0.524320856445458,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
PLD,131076800512.0,0.22520783561877056,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
VRTX,128844324864.0,0.32684277202081624,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BMY,128813588480.0,0.46794285370247324,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BKNG,126156775424.0,-0.22197208318210804,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
GLW,129320239104.0,0.9034596274265245,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
FTNT,124613926912.0,1.0168625838307026,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
PGR,123903787008.0,-0.06185543160768936,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
COF,124187738112.0,-0.09961296757481897,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
LMT,123099168768.0,0.15693797216286587,,2026-09-21T08:08:28Z,cluster_seed|yahoo_ret
BMO,121286647808.0,0.35926130417030433,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
BTI,120193425408.0,0.07931885544339767,,2026-09-21T08:08:28Z,yahoo_mcap|yahoo_ret
